title,year,runtime,rating,boxoffice,genre,rated
Blackfish,2013.0,83 min,8.1,$2073582,"Documentary, Drama",PG-13
The Cove,2009.0,92 min,8.4,$864000,Documentary,PG-13
An Inconvenient Truth,2006.0,96 min,7.4,$50000000,Documentary,PG
March of the Penguins,2005.0,80 min,7.5,$127400000,"Documentary, Family",G
Planet Earth,2006.0,540 min,9.4,,"Documentary, Family",TV-G
Blue Planet II,2017.0,420 min,9.3,,"Documentary, Family",TV-G
Our Planet,2019.0,400 min,9.3,,Documentary,TV-PG
Cosmos: A Spacetime Odyssey,2014.0,585 min,9.3,,Documentary,TV-PG
The Social Dilemma,2020.0,94 min,7.6,$70000,"Documentary, Drama",PG-13
Bowling for Columbine,2002.0,120 min,8.0,$58000000,Documentary,R
Fahrenheit 9/11,2004.0,122 min,7.5,$222500000,"Documentary, War",R
